,Unnamed: 0,Name,id,likes,date,posts,retweets
126,26,Lakers,20346956,1421,2019-03-05 03:49:37,"Rondo finds Kuzma with a gorgeous bounce pass

#LakeShow (📺: @SpectrumSN &amp; NBA TV) https://t.co/wVRMXR71KD",245
127,27,Lakers,20346956,553,2019-03-05 03:44:46,"JaVale McGee scores both of the Lakers' first two baskets of the night. 

The big man's made 20 of his last 21 shots. 
✅✅✅✅✅✅✅✅❌✅✅✅✅✅✅✅✅✅✅✅✅",68
128,28,Lakers,20346956,503,2019-03-05 03:43:40,Oop for 2️⃣ https://t.co/pQoWrmpbIB,70
129,29,Lakers,20346956,234,2019-03-05 03:40:55,Ball is up. #LakeShow https://t.co/Y8SuhIgOck,65
130,30,Lakers,20346956,575,2019-03-05 03:35:00,#SuitingUpTogether https://t.co/MWoYugSU9v,109
131,31,Lakers,20346956,1292,2019-03-05 03:34:36,Headband Kuz is back. #LakeShow https://t.co/jh2QTVwBsr,217
132,32,Lakers,20346956,260,2019-03-05 03:30:00,"Game time in Downtown Los Angeles! 

📺: @SpectrumSN
📻: 710 ESPN &amp; 1330 KWKW

https://t.co/1GaQt2WHdC",50
133,33,Lakers,20346956,852,2019-03-05 03:29:10,L A C E D https://t.co/AG0vxfC948,119
134,34,Lakers,20346956,789,2019-03-05 03:20:59,The #LakeShow takes the floor https://t.co/mWDa7TMesx,158
135,35,Lakers,20346956,1343,2019-03-05 03:05:07,UPDATE: Brandon Ingram will not play tonight. https://t.co/aGQTmzZjkp,306
136,36,Lakers,20346956,0,2019-03-05 02:41:02,"RT @Lakers: Mark Madsen sits down to provide the scouting report for tonight's game against the Clippers, presented by @Delta https://t.co/…",55
137,37,Lakers,20346956,1254,2019-03-05 01:49:18,Brandon Ingram (right shoulder soreness) is questionable for tonight’s game.,150
138,38,Lakers,20346956,1407,2019-03-05 01:35:04,#LakeShow in the building 🏠 https://t.co/whGK1zFBrq,159
